"Statistic Label","Month","Main Accommodation Type","UNIT","VALUE"
"Percentage of Nights by Foreign Visitors","2023 July","All types of accommodation","%","100"
"Percentage of Nights by Foreign Visitors","2023 August","Hotel/conference centre","%","23"
"Percentage of Nights by Foreign Visitors","2023 August","Guest house/bed & breakfast","%","6.4"
"Percentage of Nights by Foreign Visitors","2023 August","Friends/relatives/own property","%","51.3"
"Percentage of Nights by Foreign Visitors","2023 August","Self catering/rented house","%","6"
"Percentage of Nights by Foreign Visitors","2023 August","Other private tourism accommodation n.e.c.","%","13.2"
"Percentage of Nights by Foreign Visitors","2023 August","All types of accommodation","%","100"
"Percentage of Nights by Foreign Visitors","2023 September","Hotel/conference centre","%","31.7"
"Percentage of Nights by Foreign Visitors","2023 September","Guest house/bed & breakfast","%","8.1"
"Percentage of Nights by Foreign Visitors","2023 September","Friends/relatives/own property","%","45.2"
"Percentage of Nights by Foreign Visitors","2023 September","Self catering/rented house","%","7.2"
"Percentage of Nights by Foreign Visitors","2023 September","Other private tourism accommodation n.e.c.","%","7.7"
"Percentage of Nights by Foreign Visitors","2023 September","All types of accommodation","%","100"
"Percentage of Nights by Foreign Visitors","2023 October","Hotel/conference centre","%","32.8"
"Percentage of Nights by Foreign Visitors","2023 October","Guest house/bed & breakfast","%","5.1"
"Percentage of Nights by Foreign Visitors","2023 October","Friends/relatives/own property","%","44.3"
"Percentage of Nights by Foreign Visitors","2023 October","Self catering/rented house","%","7.9"
"Percentage of Nights by Foreign Visitors","2023 October","Other private tourism accommodation n.e.c.","%","9.9"
"Percentage of Nights by Foreign Visitors","2023 October","All types of accommodation","%","100"
"Percentage of Nights by Foreign Visitors","2023 November","Hotel/conference centre","%","26.6"
"Percentage of Nights by Foreign Visitors","2023 November","Guest house/bed & breakfast","%","2.9"
"Percentage of Nights by Foreign Visitors","2023 November","Friends/relatives/own property","%","49.7"
"Percentage of Nights by Foreign Visitors","2023 November","Self catering/rented house","%","7.9"
"Percentage of Nights by Foreign Visitors","2023 November","Other private tourism accommodation n.e.c.","%","12.9"
"Percentage of Nights by Foreign Visitors","2023 November","All types of accommodation","%","100"
"Percentage of Nights by Foreign Visitors","2023 December","Hotel/conference centre","%","15.9"
"Percentage of Nights by Foreign Visitors","2023 December","Guest house/bed & breakfast","%","1.6"
"Percentage of Nights by Foreign Visitors","2023 December","Friends/relatives/own property","%","32.9"
"Percentage of Nights by Foreign Visitors","2023 December","Self catering/rented house","%","7.9"
"Percentage of Nights by Foreign Visitors","2023 December","Other private tourism accommodation n.e.c.","%","41.6"
"Percentage of Nights by Foreign Visitors","2023 December","All types of accommodation","%","100"
"Percentage of Nights by Foreign Visitors","2024 January","Hotel/conference centre","%","15"
"Percentage of Nights by Foreign Visitors","2024 January","Guest house/bed & breakfast","%","1.6"
"Percentage of Nights by Foreign Visitors","2024 January","Friends/relatives/own property","%","70.4"
"Percentage of Nights by Foreign Visitors","2024 January","Self catering/rented house","%","6.3"
"Percentage of Nights by Foreign Visitors","2024 January","Other private tourism accommodation n.e.c.","%","6.8"
"Percentage of Nights by Foreign Visitors","2024 January","All types of accommodation","%","100"
"Percentage of Nights by Foreign Visitors","2024 February","Hotel/conference centre","%","25.1"
"Percentage of Nights by Foreign Visitors","2024 February","Guest house/bed & breakfast","%","3.5"
"Percentage of Nights by Foreign Visitors","2024 February","Friends/relatives/own property","%","48"
"Percentage of Nights by Foreign Visitors","2024 February","Self catering/rented house","%","7.9"
"Percentage of Nights by Foreign Visitors","2024 February","Other private tourism accommodation n.e.c.","%","15.5"
"Percentage of Nights by Foreign Visitors","2024 February","All types of accommodation","%","100"
"Percentage of Nights by Foreign Visitors","2024 March","Hotel/conference centre","%","32.8"
"Percentage of Nights by Foreign Visitors","2024 March","Guest house/bed & breakfast","%","3.9"
"Percentage of Nights by Foreign Visitors","2024 March","Friends/relatives/own property","%","42.7"
"Percentage of Nights by Foreign Visitors","2024 March","Self catering/rented house","%","5.2"
"Percentage of Nights by Foreign Visitors","2024 March","Other private tourism accommodation n.e.c.","%","15.4"
"Percentage of Nights by Foreign Visitors","2024 March","All types of accommodation","%","100"
"Percentage of Nights by Foreign Visitors","2024 April","Hotel/conference centre","%","33.3"
"Percentage of Nights by Foreign Visitors","2024 April","Guest house/bed & breakfast","%","4.1"
"Percentage of Nights by Foreign Visitors","2024 April","Friends/relatives/own property","%","45.5"
"Percentage of Nights by Foreign Visitors","2024 April","Self catering/rented house","%","7.6"
"Percentage of Nights by Foreign Visitors","2024 April","Other private tourism accommodation n.e.c.","%","9.5"
"Percentage of Nights by Foreign Visitors","2024 April","All types of accommodation","%","100"
"Percentage of Nights by Foreign Visitors","2024 May","Hotel/conference centre","%","33.1"
"Percentage of Nights by Foreign Visitors","2024 May","Guest house/bed & breakfast","%","5.2"
"Percentage of Nights by Foreign Visitors","2024 May","Friends/relatives/own property","%","37.7"
"Percentage of Nights by Foreign Visitors","2024 May","Self catering/rented house","%","8.3"
"Percentage of Nights by Foreign Visitors","2024 May","Other private tourism accommodation n.e.c.","%","15.7"
"Percentage of Nights by Foreign Visitors","2024 May","All types of accommodation","%","100"
"Percentage of Nights by Foreign Visitors","2024 June","Hotel/conference centre","%","32.8"
"Percentage of Nights by Foreign Visitors","2024 June","Guest house/bed & breakfast","%","5.9"
"Percentage of Nights by Foreign Visitors","2024 June","Friends/relatives/own property","%","36"
"Percentage of Nights by Foreign Visitors","2024 June","Self catering/rented house","%","6.6"
"Percentage of Nights by Foreign Visitors","2024 June","Other private tourism accommodation n.e.c.","%","18.7"
"Percentage of Nights by Foreign Visitors","2024 June","All types of accommodation","%","100"
"Percentage of Nights by Foreign Visitors","2024 July","Hotel/conference centre","%","26.8"
"Percentage of Nights by Foreign Visitors","2024 July","Guest house/bed & breakfast","%","5.9"
"Percentage of Nights by Foreign Visitors","2024 July","Friends/relatives/own property","%","42.9"
"Percentage of Nights by Foreign Visitors","2024 July","Self catering/rented house","%","9.4"
"Percentage of Nights by Foreign Visitors","2024 July","Other private tourism accommodation n.e.c.","%","15"
"Percentage of Nights by Foreign Visitors","2024 July","All types of accommodation","%","100"
"Percentage of Nights by Foreign Visitors","2024 August","Hotel/conference centre","%","26.2"
"Percentage of Nights by Foreign Visitors","2024 August","Guest house/bed & breakfast","%","8.4"
"Percentage of Nights by Foreign Visitors","2024 August","Friends/relatives/own property","%","44.4"
"Percentage of Nights by Foreign Visitors","2024 August","Self catering/rented house","%","7.3"
"Percentage of Nights by Foreign Visitors","2024 August","Other private tourism accommodation n.e.c.","%","13.8"
"Percentage of Nights by Foreign Visitors","2024 August","All types of accommodation","%","100"
"Average Length of Stay of Foreign Visitors","2023 January","Hotel/conference centre","Nights per trip","3.7"
"Average Length of Stay of Foreign Visitors","2023 January","Guest house/bed & breakfast","Nights per trip","6.6"
"Average Length of Stay of Foreign Visitors","2023 January","Friends/relatives/own property","Nights per trip","11.1"
"Average Length of Stay of Foreign Visitors","2023 January","Self catering/rented house","Nights per trip","11.2"
"Average Length of Stay of Foreign Visitors","2023 January","Other private tourism accommodation n.e.c.","Nights per trip","25.5"
"Average Length of Stay of Foreign Visitors","2023 January","All types of accommodation","Nights per trip","9.2"
"Average Length of Stay of Foreign Visitors","2023 February","Hotel/conference centre","Nights per trip","3.5"
"Average Length of Stay of Foreign Visitors","2023 February","Guest house/bed & breakfast","Nights per trip","6.3"
"Average Length of Stay of Foreign Visitors","2023 February","Friends/relatives/own property","Nights per trip","8"
"Average Length of Stay of Foreign Visitors","2023 February","Self catering/rented house","Nights per trip","24.8"
"Average Length of Stay of Foreign Visitors","2023 February","Other private tourism accommodation n.e.c.","Nights per trip","17.8"
"Average Length of Stay of Foreign Visitors","2023 February","All types of accommodation","Nights per trip","7.3"
"Average Length of Stay of Foreign Visitors","2023 March","Hotel/conference centre","Nights per trip","4"
"Average Length of Stay of Foreign Visitors","2023 March","Guest house/bed & breakfast","Nights per trip","6.6"
"Average Length of Stay of Foreign Visitors","2023 March","Friends/relatives/own property","Nights per trip","7.4"
"Average Length of Stay of Foreign Visitors","2023 March","Self catering/rented house","Nights per trip","9.6"
"Average Length of Stay of Foreign Visitors","2023 March","Other private tourism accommodation n.e.c.","Nights per trip","30.8"
"Average Length of Stay of Foreign Visitors","2023 March","All types of accommodation","Nights per trip","7.4"
"Average Length of Stay of Foreign Visitors","2023 April","Hotel/conference centre","Nights per trip","4.4"
"Average Length of Stay of Foreign Visitors","2023 April","Guest house/bed & breakfast","Nights per trip","5.8"
"Average Length of Stay of Foreign Visitors","2023 April","Friends/relatives/own property","Nights per trip","8.6"
"Average Length of Stay of Foreign Visitors","2023 April","Self catering/rented house","Nights per trip","14.7"
"Average Length of Stay of Foreign Visitors","2023 April","Other private tourism accommodation n.e.c.","Nights per trip","26.7"
"Average Length of Stay of Foreign Visitors","2023 April","All types of accommodation","Nights per trip","7.9"
"Average Length of Stay of Foreign Visitors","2023 May","Hotel/conference centre","Nights per trip","4.9"
"Average Length of Stay of Foreign Visitors","2023 May","Guest house/bed & breakfast","Nights per trip","6.7"
"Average Length of Stay of Foreign Visitors","2023 May","Friends/relatives/own property","Nights per trip","7"
"Average Length of Stay of Foreign Visitors","2023 May","Self catering/rented house","Nights per trip","11.6"
"Average Length of Stay of Foreign Visitors","2023 May","Other private tourism accommodation n.e.c.","Nights per trip","26.7"
"Average Length of Stay of Foreign Visitors","2023 May","All types of accommodation","Nights per trip","7.8"
"Average Length of Stay of Foreign Visitors","2023 June","Hotel/conference centre","Nights per trip","5.2"
"Average Length of Stay of Foreign Visitors","2023 June","Guest house/bed & breakfast","Nights per trip","9.5"
"Average Length of Stay of Foreign Visitors","2023 June","Friends/relatives/own property","Nights per trip","8.4"
"Average Length of Stay of Foreign Visitors","2023 June","Self catering/rented house","Nights per trip","9.4"
"Average Length of Stay of Foreign Visitors","2023 June","Other private tourism accommodation n.e.c.","Nights per trip","12.2"
"Average Length of Stay of Foreign Visitors","2023 June","All types of accommodation","Nights per trip","7.3"
"Average Length of Stay of Foreign Visitors","2023 July","Hotel/conference centre","Nights per trip","5.3"
"Average Length of Stay of Foreign Visitors","2023 July","Guest house/bed & breakfast","Nights per trip","8.3"
"Average Length of Stay of Foreign Visitors","2023 July","Friends/relatives/own property","Nights per trip","10.2"
"Average Length of Stay of Foreign Visitors","2023 July","Self catering/rented house","Nights per trip","11.6"
"Average Length of Stay of Foreign Visitors","2023 July","Other private tourism accommodation n.e.c.","Nights per trip","18.2"
"Average Length of Stay of Foreign Visitors","2023 July","All types of accommodation","Nights per trip","8.7"
"Average Length of Stay of Foreign Visitors","2023 August","Hotel/conference centre","Nights per trip","5.7"
"Average Length of Stay of Foreign Visitors","2023 August","Guest house/bed & breakfast","Nights per trip","10.3"
"Average Length of Stay of Foreign Visitors","2023 August","Friends/relatives/own property","Nights per trip","12.7"
"Average Length of Stay of Foreign Visitors","2023 August","Self catering/rented house","Nights per trip","11.9"
"Average Length of Stay of Foreign Visitors","2023 August","Other private tourism accommodation n.e.c.","Nights per trip","15.6"
"Average Length of Stay of Foreign Visitors","2023 August","All types of accommodation","Nights per trip","9.9"
"Average Length of Stay of Foreign Visitors","2023 September","Hotel/conference centre","Nights per trip","5.5"
"Average Length of Stay of Foreign Visitors","2023 September","Guest house/bed & breakfast","Nights per trip","8.1"
"Average Length of Stay of Foreign Visitors","2023 September","Friends/relatives/own property","Nights per trip","10"
"Average Length of Stay of Foreign Visitors","2023 September","Self catering/rented house","Nights per trip","11.9"
"Average Length of Stay of Foreign Visitors","2023 September","Other private tourism accommodation n.e.c.","Nights per trip","13.3"
"Average Length of Stay of Foreign Visitors","2023 September","All types of accommodation","Nights per trip","8"
"Average Length of Stay of Foreign Visitors","2023 October","Hotel/conference centre","Nights per trip","4.9"
"Average Length of Stay of Foreign Visitors","2023 October","Guest house/bed & breakfast","Nights per trip","6.6"
"Average Length of Stay of Foreign Visitors","2023 October","Friends/relatives/own property","Nights per trip","8"
"Average Length of Stay of Foreign Visitors","2023 October","Self catering/rented house","Nights per trip","10.3"
"Average Length of Stay of Foreign Visitors","2023 October","Other private tourism accommodation n.e.c.","Nights per trip","12"
"Average Length of Stay of Foreign Visitors","2023 October","All types of accommodation","Nights per trip","6.9"
"Average Length of Stay of Foreign Visitors","2023 November","Hotel/conference centre","Nights per trip","3.9"
"Average Length of Stay of Foreign Visitors","2023 November","Guest house/bed & breakfast","Nights per trip","5.4"
"Average Length of Stay of Foreign Visitors","2023 November","Friends/relatives/own property","Nights per trip","8.4"
"Average Length of Stay of Foreign Visitors","2023 November","Self catering/rented house","Nights per trip","14.1"
"Average Length of Stay of Foreign Visitors","2023 November","Other private tourism accommodation n.e.c.","Nights per trip","17.2"
"Average Length of Stay of Foreign Visitors","2023 November","All types of accommodation","Nights per trip","6.9"
"Average Length of Stay of Foreign Visitors","2023 December","Hotel/conference centre","Nights per trip","4"
"Average Length of Stay of Foreign Visitors","2023 December","Guest house/bed & breakfast","Nights per trip","6.3"
"Average Length of Stay of Foreign Visitors","2023 December","Friends/relatives/own property","Nights per trip","7.3"
"Average Length of Stay of Foreign Visitors","2023 December","Self catering/rented house","Nights per trip","22.7"
"Average Length of Stay of Foreign Visitors","2023 December","Other private tourism accommodation n.e.c.","Nights per trip","56"
"Average Length of Stay of Foreign Visitors","2023 December","All types of accommodation","Nights per trip","10.1"
"Average Length of Stay of Foreign Visitors","2024 January","Hotel/conference centre","Nights per trip","3.5"
"Average Length of Stay of Foreign Visitors","2024 January","Guest house/bed & breakfast","Nights per trip","5.4"
"Average Length of Stay of Foreign Visitors","2024 January","Friends/relatives/own property","Nights per trip","10.9"
"Average Length of Stay of Foreign Visitors","2024 January","Self catering/rented house","Nights per trip","16.7"
"Average Length of Stay of Foreign Visitors","2024 January","Other private tourism accommodation n.e.c.","Nights per trip","15"
"Average Length of Stay of Foreign Visitors","2024 January","All types of accommodation","Nights per trip","8.4"
"Average Length of Stay of Foreign Visitors","2024 February","Hotel/conference centre","Nights per trip","3.3"
"Average Length of Stay of Foreign Visitors","2024 February","Guest house/bed & breakfast","Nights per trip","5.3"
"Average Length of Stay of Foreign Visitors","2024 February","Friends/relatives/own property","Nights per trip","7.5"
"Average Length of Stay of Foreign Visitors","2024 February","Self catering/rented house","Nights per trip","13.6"
"Average Length of Stay of Foreign Visitors","2024 February","Other private tourism accommodation n.e.c.","Nights per trip","16.4"
"Average Length of Stay of Foreign Visitors","2024 February","All types of accommodation","Nights per trip","6.2"
"Average Length of Stay of Foreign Visitors","2024 March","Hotel/conference centre","Nights per trip","4"
"Average Length of Stay of Foreign Visitors","2024 March","Guest house/bed & breakfast","Nights per trip","5.4"
"Average Length of Stay of Foreign Visitors","2024 March","Friends/relatives/own property","Nights per trip","7.1"
"Average Length of Stay of Foreign Visitors","2024 March","Self catering/rented house","Nights per trip","8.1"
"Average Length of Stay of Foreign Visitors","2024 March","Other private tourism accommodation n.e.c.","Nights per trip","14"
"Average Length of Stay of Foreign Visitors","2024 March","All types of accommodation","Nights per trip","6"
"Average Length of Stay of Foreign Visitors","2024 April","Hotel/conference centre","Nights per trip","4.6"
"Average Length of Stay of Foreign Visitors","2024 April","Guest house/bed & breakfast","Nights per trip","6"
"Average Length of Stay of Foreign Visitors","2024 April","Friends/relatives/own property","Nights per trip","7.4"
"Average Length of Stay of Foreign Visitors","2024 April","Self catering/rented house","Nights per trip","10.2"
"Average Length of Stay of Foreign Visitors","2024 April","Other private tourism accommodation n.e.c.","Nights per trip","10.5"
"Average Length of Stay of Foreign Visitors","2024 April","All types of accommodation","Nights per trip","6.4"
"Average Length of Stay of Foreign Visitors","2024 May","Hotel/conference centre","Nights per trip","4.7"
"Average Length of Stay of Foreign Visitors","2024 May","Guest house/bed & breakfast","Nights per trip","6.5"
"Average Length of Stay of Foreign Visitors","2024 May","Friends/relatives/own property","Nights per trip","8.2"
"Average Length of Stay of Foreign Visitors","2024 May","Self catering/rented house","Nights per trip","13.1"
"Average Length of Stay of Foreign Visitors","2024 May","Other private tourism accommodation n.e.c.","Nights per trip","16.7"
"Average Length of Stay of Foreign Visitors","2024 May","All types of accommodation","Nights per trip","7.2"
"Average Length of Stay of Foreign Visitors","2024 June","Hotel/conference centre","Nights per trip","5.2"
"Average Length of Stay of Foreign Visitors","2024 June","Guest house/bed & breakfast","Nights per trip","7.3"
"Average Length of Stay of Foreign Visitors","2024 June","Friends/relatives/own property","Nights per trip","7.7"
"Average Length of Stay of Foreign Visitors","2024 June","Self catering/rented house","Nights per trip","8.8"
"Average Length of Stay of Foreign Visitors","2024 June","Other private tourism accommodation n.e.c.","Nights per trip","15.8"
"Average Length of Stay of Foreign Visitors","2024 June","All types of accommodation","Nights per trip","7.3"
"Average Length of Stay of Foreign Visitors","2024 July","Hotel/conference centre","Nights per trip","5.3"
"Average Length of Stay of Foreign Visitors","2024 July","Guest house/bed & breakfast","Nights per trip","7.6"
"Average Length of Stay of Foreign Visitors","2024 July","Friends/relatives/own property","Nights per trip","9.6"
"Average Length of Stay of Foreign Visitors","2024 July","Self catering/rented house","Nights per trip","13.4"
"Average Length of Stay of Foreign Visitors","2024 July","Other private tourism accommodation n.e.c.","Nights per trip","11.2"
"Average Length of Stay of Foreign Visitors","2024 July","All types of accommodation","Nights per trip","8.1"
"Average Length of Stay of Foreign Visitors","2024 August","Hotel/conference centre","Nights per trip","5.8"
"Average Length of Stay of Foreign Visitors","2024 August","Guest house/bed & breakfast","Nights per trip","8.9"
"Average Length of Stay of Foreign Visitors","2024 August","Friends/relatives/own property","Nights per trip","10.2"
"Average Length of Stay of Foreign Visitors","2024 August","Self catering/rented house","Nights per trip","11.2"
"Average Length of Stay of Foreign Visitors","2024 August","Other private tourism accommodation n.e.c.","Nights per trip","13.5"
"Average Length of Stay of Foreign Visitors","2024 August","All types of accommodation","Nights per trip","8.7"
